prix;prix_m2;type_bien;nb_pieces;surface;code_postal;ville
320000;4213;Appartement;3;72;94320;Thiais
499550;3731;Maison;6;130;33200;Bordeaux
96775;1011;Appartement;4;89;86000;Poitiers
202350;2111;Maison;4;90;86000;Poitiers
128485;1526;Appartement;4;79;86000;Poitiers
340800;2359;Maison;7;136;86440;Migné-Auxances
254000;2051;Maison;5;117;86580;Vouneuil-sous-Biard
118000;1373;Appartement;4;80;86000;Poitiers
217000;2103;Maison;4;98;86000;Poitiers
228975;2482;Appartement;3;87;86000;Poitiers
239625;1947;Maison;5;116;86170;Avanton
194895;2096;Maison;3;87;86440;Migné-Auxances
399375;2219;Maison;7;169;86580;Vouneuil-sous-Biard
365000;4194;Appartement;4;87;78180;Montigny-le-Bretonneux
255000;2377;Maison;4;101;86440;Migné-Auxances
149290;1505;Maison;5;93;86440;Migné-Auxances
266250;1678;Maison;8;149;86180;Buxerolles
289000;4250;Appartement;3;68;78180;Montigny-le-Bretonneux
352500;5109;Appartement;3;69;78180;Montigny-le-Bretonneux
345000;4452;Maison;3;73;33800;Bordeaux
80920;2669;Studio;28m²;28;86000;Poitiers
498000;5473;Appartement;4;91;78280;Guyancourt
499000;5293;Maison;6;94;78280;Guyancourt
577500;4851;Maison;4;113;33800;Bordeaux
278000;4586;Appartement;3;58;78370;Plaisir
269000;2587;Appartement;3;104;41000;Blois
269000;5380;Appartement;2;50;06400;Cannes
298200;1269;Maison;9;221;86170;Champigny
255000;3455;Appartement;3;74;78180;Montigny-le-Bretonneux
378000;4444;Appartement;4;85;78180;Montigny-le-Bretonneux
472500;3659;Maison;6;123;78370;Plaisir
298200;1867;Maison;6;150;33190;Casseuil
449000;4902;Appartement;5;92;94200;Ivry-sur-Seine
466500;5766;Appartement;4;81;74360;Abondance
200000;5457;Appartement;2;37;06000;Nice
80000;800;Maison;4;100;23130;Peyrat-la-Nonière
435000;3346;Maison;5;130;63200;Marsat
598500;4592;Maison;6;124;94320;Thiais
1370000;6722;Maison;6;204;06600;Antibes
430500;2303;Maison;8;178;67870;Griesheim-près-Molsheim
195000;1021;Maison;7;191;69240;Thizy-les-Bourgs
525000;5048;Maison;5;104;01480;Frans
327000;4145;Appartement;4;76;78180;Montigny-le-Bretonneux
204000;3400;Appartement;3;60;87100;Limoges
420000;3853;Maison;4;109;69480;Anse
465000;2514;Maison;7;185;38440;Meyrieu-les-Étangs
1180000;3933;Maison;6;300;69300;Caluire-et-Cuire
246750;3469;Appartement;3;71;78180;Montigny-le-Bretonneux
68000;400;Maison;7;150;54450;Frémonville
630000;3529;Maison;6;170;29200;Brest
603000;3800;Maison;5;150;50270;Barneville-Carteret
98000;1755;Appartement;2;56;64270;Salies-de-Béarn
330000;5323;Appartement;3;62;69001;Lyon
340000;5000;Appartement;3;68;33000;Bordeaux
555000;6852;Appartement;4;81;92130;Issy-les-Moulineaux
740000;4625;Maison;6;160;83510;Lorgues
