field,region,id,nom_ville,code_ville,note
security,provence-alpes-cote-dazur,1,gradignan,33,4.5
security,provence-alpes-cote-dazur,2,saint-prix,95,4.5
security,provence-alpes-cote-dazur,3,roscoff,29,4.4
security,provence-alpes-cote-dazur,4,gemenos,13,4.4
security,provence-alpes-cote-dazur,5,montevrain,77,4.4
security,provence-alpes-cote-dazur,6,beaucouze,49,4.4
security,provence-alpes-cote-dazur,7,paray-le-monial,71,4.4
security,provence-alpes-cote-dazur,8,magny-le-hongre,77,4.3
security,provence-alpes-cote-dazur,9,pacy-sur-eure,27,4.3
security,provence-alpes-cote-dazur,10,plan-de-cuques,13,4.3
security,provence-alpes-cote-dazur,11,entraigues-sur-la-sorgue,84,4.3
security,provence-alpes-cote-dazur,12,montaigu-vendee,85,4.3
security,provence-alpes-cote-dazur,13,saint-gilles-croix-de-vie,85,4.3
security,provence-alpes-cote-dazur,14,gournay-sur-marne,93,4.3
security,provence-alpes-cote-dazur,15,la-bourboule,63,4.3
security,provence-alpes-cote-dazur,16,velizy-villacoublay,78,4.3
security,provence-alpes-cote-dazur,17,blanquefort,33,4.3
security,provence-alpes-cote-dazur,18,carrieres-sur-seine,78,4.3
security,provence-alpes-cote-dazur,19,la-londe-les-maures,83,4.3
security,provence-alpes-cote-dazur,20,saint-gely-du-fesc,34,4.2
security,provence-alpes-cote-dazur,21,le-plessis-robinson,92,4.2
security,provence-alpes-cote-dazur,22,landerneau,29,4.2
security,provence-alpes-cote-dazur,23,baud,56,4.2
security,provence-alpes-cote-dazur,24,nogent-sur-seine,10,4.2
security,provence-alpes-cote-dazur,25,ifs,14,4.2
security,provence-alpes-cote-dazur,26,cesson,77,4.2
security,provence-alpes-cote-dazur,27,lieusaint,77,4.2
security,provence-alpes-cote-dazur,28,saint-cheron,91,4.2
security,provence-alpes-cote-dazur,29,blere,37,4.2
security,provence-alpes-cote-dazur,30,saint-etienne-de-montluc,44,4.2
security,provence-alpes-cote-dazur,31,houdan,78,4.2
security,provence-alpes-cote-dazur,32,servian,34,4.2
security,provence-alpes-cote-dazur,33,pont-labbe,29,4.2
security,provence-alpes-cote-dazur,34,aizenay,85,4.2
security,provence-alpes-cote-dazur,35,yerres,91,4.2
security,provence-alpes-cote-dazur,36,sevres,92,4.2
security,provence-alpes-cote-dazur,37,bondues,59,4.1
security,provence-alpes-cote-dazur,38,la-grande-motte,34,4.1
security,provence-alpes-cote-dazur,39,viroflay,78,4.1
security,provence-alpes-cote-dazur,40,joinville-le-pont,94,4.1
security,provence-alpes-cote-dazur,41,culoz-beon,01,4.1
security,provence-alpes-cote-dazur,42,poisy,74,4.1
security,provence-alpes-cote-dazur,43,illkirch-graffenstaden,67,4.1
security,provence-alpes-cote-dazur,44,maule,78,4.1
security,provence-alpes-cote-dazur,45,fontainebleau,77,4.1
security,provence-alpes-cote-dazur,46,saint-germain-en-laye,78,4.1
security,provence-alpes-cote-dazur,47,châteaubriant,44,4.1
security,provence-alpes-cote-dazur,48,saint-loubes,33,4.1
security,provence-alpes-cote-dazur,49,vincennes,94,4.1
security,provence-alpes-cote-dazur,50,tournefeuille,31,4.1
culture,auvergne-rhone-alpes,1,poisy,74,4.3
culture,auvergne-rhone-alpes,2,chamalieres,63,4.2
culture,auvergne-rhone-alpes,3,cournon-dauvergne,63,4.2
culture,auvergne-rhone-alpes,4,montbrison,42,4
culture,auvergne-rhone-alpes,5,chassieu,69,4
culture,auvergne-rhone-alpes,6,saint-germain-au-mont-dor,69,4
culture,auvergne-rhone-alpes,7,sallanches,74,3.9
culture,auvergne-rhone-alpes,8,oullins,69,3.9
culture,auvergne-rhone-alpes,9,lyon,69,3.8
culture,auvergne-rhone-alpes,10,saint-bonnet-de-mure,69,3.8
culture,auvergne-rhone-alpes,11,mornant,69,3.8
culture,auvergne-rhone-alpes,12,saint-julien-en-genevois,74,3.8
culture,auvergne-rhone-alpes,13,voiron,38,3.8
culture,auvergne-rhone-alpes,14,riom,63,3.7
culture,auvergne-rhone-alpes,15,jassans-riottier,01,3.7
culture,auvergne-rhone-alpes,16,rumilly,74,3.7
culture,auvergne-rhone-alpes,17,issoire,63,3.7
culture,auvergne-rhone-alpes,18,chambery,73,3.7
culture,auvergne-rhone-alpes,19,gerzat,63,3.7
culture,auvergne-rhone-alpes,20,genas,69,3.7
culture,auvergne-rhone-alpes,21,caluire-et-cuire,69,3.7
culture,auvergne-rhone-alpes,22,clermont-ferrand,63,3.7
culture,auvergne-rhone-alpes,23,culoz-beon,01,3.6
culture,auvergne-rhone-alpes,24,gex,01,3.6
culture,auvergne-rhone-alpes,25,les-martres-de-veyre,63,3.6
culture,auvergne-rhone-alpes,26,amberieu-en-bugey,01,3.6
culture,auvergne-rhone-alpes,27,crolles,38,3.6
culture,auvergne-rhone-alpes,28,aubenas,07,3.6
culture,auvergne-rhone-alpes,29,le-puy-en-velay,43,3.6
culture,auvergne-rhone-alpes,30,lisle-dabeau,38,3.6
culture,auvergne-rhone-alpes,31,la-bourboule,63,3.5
culture,auvergne-rhone-alpes,32,aix-les-bains,73,3.5
culture,auvergne-rhone-alpes,33,meyzieu,69,3.5
culture,auvergne-rhone-alpes,34,villefontaine,38,3.5
culture,auvergne-rhone-alpes,35,saint-martin-dheres,38,3.5
culture,auvergne-rhone-alpes,36,tournon-sur-rhone,07,3.5
culture,auvergne-rhone-alpes,37,annecy,74,3.5
culture,auvergne-rhone-alpes,38,bron,69,3.5
culture,auvergne-rhone-alpes,39,bourg-en-bresse,01,3.4
culture,auvergne-rhone-alpes,40,tarare,69,3.4
culture,auvergne-rhone-alpes,41,fontaine,38,3.4
culture,auvergne-rhone-alpes,42,rillieux-la-pape,69,3.4
culture,auvergne-rhone-alpes,43,vichy,03,3.4
culture,auvergne-rhone-alpes,44,pierrelatte,26,3.3
culture,auvergne-rhone-alpes,45,maringues,63,3.3
culture,auvergne-rhone-alpes,46,la-tour-du-pin,38,3.3
culture,auvergne-rhone-alpes,47,decines-charpieu,69,3.3
culture,auvergne-rhone-alpes,48,bonneville,74,3.3
culture,auvergne-rhone-alpes,49,villeurbanne,69,3.3
culture,auvergne-rhone-alpes,50,moulins,03,3.2
culture,bourgogne-franche-comte,1,paray-le-monial,71,4.3
culture,bourgogne-franche-comte,2,beaune,21,3.9
culture,bourgogne-franche-comte,3,dijon,21,3.8
culture,bourgogne-franche-comte,4,vesoul,70,3.7
culture,bourgogne-franche-comte,5,dole,39,3.7
culture,bourgogne-franche-comte,6,digoin,71,3.7
culture,bourgogne-franche-comte,7,besançon,25,3.7
culture,bourgogne-franche-comte,8,auxerre,89,3.6
culture,bourgogne-franche-comte,9,belfort,90,3.5
culture,bourgogne-franche-comte,10,cosne-cours-sur-loire,58,3.5
culture,bourgogne-franche-comte,11,le-creusot,71,3.5
culture,bourgogne-franche-comte,12,pontarlier,25,3.5
culture,bourgogne-franche-comte,13,montbeliard,25,3.5
culture,bourgogne-franche-comte,14,saint-claude,39,3.5
culture,bourgogne-franche-comte,15,louhans,71,3.5
culture,bourgogne-franche-comte,16,chalon-sur-saone,71,3.5
culture,bourgogne-franche-comte,17,nevers,58,3.2
culture,bourgogne-franche-comte,18,autun,71,3.1
culture,bourgogne-franche-comte,19,sens,89,3
culture,bourgogne-franche-comte,20,lons-le-saunier,39,2.9
culture,bourgogne-franche-comte,21,talant,21,2.8
culture,bourgogne-franche-comte,22,clamecy,58,2.8
culture,bourgogne-franche-comte,23,migennes,89,2.7
culture,bourgogne-franche-comte,24,mâcon,71,2.6
culture,bourgogne-franche-comte,25,baume-les-dames,25,2.5
culture,bourgogne-franche-comte,26,hericourt,70,2.5
culture,bourgogne-franche-comte,27,montceau-les-mines,71,2.2
