field,region,id,nom_ville,code_ville,note
nb-habitant,auvergne-rhone-alpes,1,lyon,69,522 250
nb-habitant,auvergne-rhone-alpes,2,saint-etienne,42,172 718
nb-habitant,auvergne-rhone-alpes,3,grenoble,38,157 477
nb-habitant,auvergne-rhone-alpes,4,villeurbanne,69,156 928
nb-habitant,auvergne-rhone-alpes,5,clermont-ferrand,63,147 327
nb-habitant,auvergne-rhone-alpes,6,annecy,74,131 715
nb-habitant,auvergne-rhone-alpes,7,venissieux,69,66 363
nb-habitant,auvergne-rhone-alpes,8,valence,26,64 483
nb-habitant,auvergne-rhone-alpes,9,chambery,73,59 856
nb-habitant,auvergne-rhone-alpes,10,vaulx-en-velin,69,52 139
nb-habitant,auvergne-rhone-alpes,11,saint-priest,69,48 822
nb-habitant,auvergne-rhone-alpes,12,caluire-et-cuire,69,43 572
nb-habitant,auvergne-rhone-alpes,13,bron,69,43 049
nb-habitant,auvergne-rhone-alpes,14,bourg-en-bresse,01,41 525
nb-habitant,auvergne-rhone-alpes,15,montelimar,26,40 399
nb-habitant,auvergne-rhone-alpes,16,saint-martin-dheres,38,38 454
nb-habitant,auvergne-rhone-alpes,17,annemasse,74,37 918
nb-habitant,auvergne-rhone-alpes,18,thonon-les-bains,74,37 027
nb-habitant,auvergne-rhone-alpes,19,echirolles,38,36 849
nb-habitant,auvergne-rhone-alpes,20,villefranche-sur-saone,69,35 913
nb-habitant,auvergne-rhone-alpes,21,meyzieu,69,35 882
nb-habitant,auvergne-rhone-alpes,22,saint-chamond,42,35 068
nb-habitant,auvergne-rhone-alpes,23,roanne,42,34 762
nb-habitant,auvergne-rhone-alpes,24,montluçon,03,33 342
nb-habitant,auvergne-rhone-alpes,25,romans-sur-isere,26,32 911
nb-habitant,auvergne-rhone-alpes,26,aix-les-bains,73,31 874
nb-habitant,auvergne-rhone-alpes,27,rillieux-la-pape,69,31 247
nb-habitant,auvergne-rhone-alpes,28,vienne,38,31 051
nb-habitant,auvergne-rhone-alpes,29,decines-charpieu,69,29 731
nb-habitant,auvergne-rhone-alpes,30,bourgoin-jallieu,38,29 577
nb-habitant,auvergne-rhone-alpes,31,oullins,69,27 113
nb-habitant,auvergne-rhone-alpes,32,aurillac,15,25 815
nb-habitant,auvergne-rhone-alpes,33,vichy,03,25 789
nb-habitant,auvergne-rhone-alpes,34,fontaine,38,22 891
nb-habitant,auvergne-rhone-alpes,35,tassin-la-demi-lune,69,22 676
nb-habitant,auvergne-rhone-alpes,36,oyonnax,01,22 277
nb-habitant,auvergne-rhone-alpes,37,sainte-foy-les-lyon,69,21 858
nb-habitant,auvergne-rhone-alpes,38,saint-genis-laval,69,20 929
nb-habitant,auvergne-rhone-alpes,39,voiron,38,20 891
nb-habitant,auvergne-rhone-alpes,40,givors,69,20 654
nb-habitant,auvergne-rhone-alpes,41,cournon-dauvergne,63,20 193
nb-habitant,auvergne-rhone-alpes,42,albertville,73,19 812
nb-habitant,auvergne-rhone-alpes,43,bourg-les-valence,26,19 581
nb-habitant,auvergne-rhone-alpes,44,saint-fons,69,19 360
nb-habitant,auvergne-rhone-alpes,45,moulins,03,19 343
nb-habitant,auvergne-rhone-alpes,46,villefontaine,38,19 083
