trip_id,departure,destination,duree
OCESN003100F140147152,Le Havre,Paris-St-Lazare,138
OCESN003190F040047309,Dieppe,Paris-St-Lazare,145
OCESN003198F030037315,Paris-St-Lazare,Rouen-Rive-Droite,97
OCESN003300F030037323,Cherbourg,Paris-St-Lazare,194
OCESN003313F380387526,Caen,Paris-St-Lazare,149
OCESN003371F080087908,Paris-St-Lazare,Trouville-Deauville,147
OCESN003410F120128075,Granville,Paris-Montp.3-Vaug.,201
OCESN003460F010018083,Granville,Paris-Montparnasse 1-2,195
OCESN003463F030038093,Dreux,Granville,142
OCESN003903F030038704,Bourges,Paris-Austerlitz,122
OCESN003903F040048703,Paris-Austerlitz,Vierzon,101
OCESN003917F090098744,Bourges,Paris-Bercy,131
OCESN003917F130138743,Nevers,Paris-Austerlitz,177
OCESN003933F010018761,Bourges,Nevers,38
OCESN005900F0500510094,Nevers,Paris-Bercy,154
OCESN005905F4304310108,Nevers,Paris-Gare-de-Lyon,146
OCESN013272F09009-1367954595,Argentan,Paris-Montp.3-Vaug.,121
OCESN014030F0900915588,Orléans,Paris-Austerlitz,75
OCESN014033F0700715600,Paris-Austerlitz,Tours,131
OCESN014033F0900915597,Orléans,Tours,72
OCESN014035F0800815607,Aubrais-(les),Paris-Austerlitz,71
OCESN014041F1201215628,Paris-Bercy,Tours,146
OCESN014043F1801815630,Orléans,Paris-Bercy,84
OCESN014081F2102115781,Paris-Austerlitz,St-Pierre-des-Corps,118
OCESN016350F0100115870,Calais Ville,Paris Gare du Nord,183
OCESN016372F0100115902,Boulogne Ville,Paris Gare du Nord,145
OCESN016380F0100115910,Amiens,Calais Ville,107
OCESN016380F0300315908,Boulogne Ville,Calais Ville,28
OCESN016442F0100115983,Amiens,Boulogne Ville,75
OCESN016444F0500515989,Amiens,Paris Gare du Nord,74
OCESN016450F0100115993,Cambrai Ville,Paris Gare du Nord,155
OCESN016451F0100115996,Maubeuge,Paris Gare du Nord,119
OCESN016453F0400416001,Paris Gare du Nord,St Quentin,100
OCESN016468F0200216048,Compiègne,Maubeuge,80
OCESN016514F0900916097,Argentan,Dreux,69
OCESN016550F0200216123,Caen,Le Mans,111
OCESN016550F0400416121,Caen,Tours,182
OCESN016750F0900916155,Le Mans,Paris-Montparnasse 1-2,135
OCESN016765F1401416187,Nogent-le-Rotrou,Paris-Montparnasse 1-2,102
OCESN016766F1801816197,Chartres,Paris-Montparnasse 1-2,70
OCESN016782F1501516255,Chartres,Le Mans,70
OCESN016812F1601616283,Blois-Chambord,Tours,38
OCESN016840F1201216363,Lyon-Perrache,Tours,366
OCESN016840F1601616364,Lyon-Perrache,Nevers,211
OCESN017301F0200216375,Latour-de-Carol-Enveitg,Villefranche-Vernet-l.B,174
